Title,Train Loss,Train Accuracy,Test Accuracy,Infer Accuracy
demo_ne2,0.17408743982315064,0.75105,0.805625,0.8275
demo_ne2,0.15087102931340535,0.7925833333333333,0.825375,0.8345
demo_ne2,0.13952279080284966,0.8112722222222222,0.831875,0.859
demo_ne2,0.13193440229098002,0.8228,0.83875,0.858
demo_ne2,0.12625346410751342,0.8292233333333333,0.83525,0.853
demo_ne2,0.12160028759108649,0.8322194444444444,0.818125,0.831
demo_ne2,0.11771589270773387,0.8317333333333333,0.801125,0.8205
demo_ne2,0.11405394146839777,0.8275770833333334,0.758,0.77
demo_ne2,0.11084166744903282,0.8199648148148149,0.726125,0.739
demo_ne2,0.10808909729003906,0.811255,0.704375,0.709
