Title,Train Loss,Train Accuracy,Test Accuracy,Infer Accuracy
demo_rs3,0.14846066125233967,0.29041666666666666,0.267625,0.2665
demo_rs3,0.12893121767044066,0.27175,0.256375,0.251
demo_rs3,0.11931099570592245,0.2632277777777778,0.258125,0.2545
demo_rs3,0.11322648298740387,0.26088333333333336,0.264625,0.259
demo_rs3,0.10859888266881307,0.2614533333333333,0.267875,0.267
demo_rs3,0.10493331224123637,0.263425,0.284875,0.277
demo_rs3,0.10168777046203613,0.2662547619047619,0.284375,0.281
demo_rs3,0.09892051805257797,0.2691604166666667,0.288,0.287
demo_rs3,0.09649600511480261,0.271762962962963,0.306,0.3005
demo_rs3,0.09431066364129384,0.2739,0.320125,0.3195
